Reference, Value, Footprint, Datasheet
P1,Power,Socket_Arduino_Uno:Socket_Strip_Arduino_1x08,
P2,Analog,Socket_Arduino_Uno:Socket_Strip_Arduino_1x06,
P4,Digital,Socket_Arduino_Uno:Socket_Strip_Arduino_1x08,
P3,Digital,Socket_Arduino_Uno:Socket_Strip_Arduino_1x10,
U2,LM317,Power_Integrations:TO-220,
C7,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
R10,1k,Resistors_SMD:R_1206_HandSoldering,
R9,2.2k,Resistors_SMD:R_1206_HandSoldering,
C8,1uF,Capacitors_SMD:C_0805_HandSoldering,
P13,CONN_RF,Pin_Headers:Pin_Header_Straight_1x07,
P9,5V,Pin_Headers:Pin_Header_Straight_1x02,
P12,GND,Pin_Headers:Pin_Header_Straight_1x02,
P11,GND,Pin_Headers:Pin_Header_Straight_1x02,
P10,IF,Pin_Headers:Pin_Header_Straight_1x02,
R12,0.1,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R14,0.1,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R13,0.1,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R15,0.1,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
P14,HC-SR505,Pin_Headers:Pin_Header_Straight_1x03,
R16,0.1,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R17,0.1,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
P5,VSS-GND,Pin_Headers:Pin_Header_Straight_1x02,
D1,D,Diodes_SMD:SMA_Handsoldering,
D2,D,Diodes_SMD:SMA_Handsoldering,
U3,L293,Housings_DIP:DIP-16_W7.62mm,
D3,D,Diodes_SMD:SMA_Handsoldering,
D4,D,Diodes_SMD:SMA_Handsoldering,
P6,Motor,Pin_Headers:Pin_Header_Straight_1x02,
U1,LM324,Libreria Personal:LM324,
C5,4.7uF,Capacitors_SMD:C_0805_HandSoldering,
R7,8.2k,Resistors_SMD:R_1206_HandSoldering,
C4,2.2nF,Capacitors_SMD:C_0805_HandSoldering,
R6,1M,Resistors_SMD:R_1206_HandSoldering,
R4,10k,Resistors_SMD:R_1206_HandSoldering,
C3,4.7uF,Capacitors_SMD:C_0805_HandSoldering,
C2,4.7uF,Capacitors_SMD:C_0805_HandSoldering,
R1,12k,Resistors_SMD:R_1206_HandSoldering,
R5,330k,Resistors_SMD:R_1206_HandSoldering,
R2,100k,Resistors_SMD:R_1206_HandSoldering,
R3,100k,Resistors_SMD:R_1206_HandSoldering,
C1,0.1uF,Capacitors_SMD:C_0805_HandSoldering,
C6,2.2nF,Capacitors_SMD:C_0805_HandSoldering,
R8,1M,Resistors_SMD:R_1206_HandSoldering,
P15,CONN_MP3,Pin_Headers:Pin_Header_Straight_1x08,
P16,CONN_MP3,Pin_Headers:Pin_Header_Straight_1x08,
Q1,MMBT3904,TO_SOT_Packages_SMD:SOT-23,
SP1,BUZZER,Buzzers_Beepers:Buzzer_12x9.5RM7.6,
SP2,ALTAVOZ,Pin_Headers:Pin_Header_Straight_1x02,
R11,1k,Resistors_SMD:R_1206_HandSoldering,
